3.08567758e+14  -4.32488381e+16 1.40159939e+02  
1.85140655e+18  -7.20767418e+12 3.89382687e-06  
3.70281310e+18  -3.60222900e+12 9.74323385e-07  
5.55421965e+18  -2.39858018e+12 4.34078099e-07  
7.40562619e+18  -1.79469284e+12 2.45314118e-07  
9.25703274e+18  -1.43016005e+12 1.58209320e-07  
1.11084393e+19  -1.18484620e+12 1.11119279e-07  
1.29598458e+19  -1.00726468e+12 8.29220015e-08  
1.48112524e+19  -8.71672210e+11 6.47945811e-08  
1.66626589e+19  -7.63767045e+11 5.25220539e-08  
1.85140655e+19  -6.74968192e+11 4.38844332e-08  
2.03654720e+19  -5.99815154e+11 3.76222176e-08  
2.22168786e+19  -5.34667597e+11 3.29776674e-08  
2.40682851e+19  -4.77005298e+11 2.94727314e-08  
2.59196917e+19  -4.25028162e+11 2.67937239e-08  
2.77710982e+19  -3.77416278e+11 2.47278931e-08  
2.96225048e+19  -3.33179879e+11 2.31268148e-08  
3.14739113e+19  -2.91561853e+11 2.18843883e-08  
3.33253179e+19  -2.51973483e+11 2.09231381e-08  
3.51767244e+19  -2.13950058e+11 2.01854219e-08  
3.70281310e+19  -1.77120299e+11 1.96276358e-08  
3.88795375e+19  -1.41183116e+11 1.92163020e-08  
4.07309441e+19  -1.05892404e+11 1.89253719e-08  
4.25823506e+19  -7.10448988e+10 1.87343322e-08  
4.44337572e+19  -3.64716430e+10 1.86268505e-08  
4.62851637e+19  -2.03045287e+09 1.85897924e-08  
4.81365703e+19  3.23989910e+10  1.86124983e-08  
4.99879768e+19  6.69190621e+10  1.86862439e-08  
5.18393834e+19  1.01617313e+11  1.88038331e-08  
5.36907899e+19  1.36569058e+11  1.89592875e-08  
5.55421965e+19  1.71839801e+11  1.91476068e-08  
5.73936030e+19  2.07486438e+11  1.93645827e-08  
5.92450095e+19  2.43558409e+11  1.96066530e-08  
6.10964161e+19  2.80099411e+11  1.98707857e-08  
6.29478226e+19  3.17147887e+11  2.01543868e-08  
6.47992292e+19  3.54737727e+11  2.04552265e-08  
6.66506357e+19  3.92898903e+11  2.07713795e-08  
6.85020423e+19  4.31658311e+11  2.11011756e-08  
7.03534488e+19  4.71039883e+11  2.14431608e-08  
7.22048554e+19  5.11064772e+11  2.17960643e-08  
7.40562619e+19  5.51752307e+11  2.21587708e-08  
7.59076685e+19  5.93119705e+11  2.25302985e-08  
7.77590750e+19  6.35182476e+11  2.29097805e-08  
7.96104816e+19  6.77954520e+11  2.32964484e-08  
8.14618881e+19  7.21448598e+11  2.36896193e-08  
8.33132947e+19  7.65676187e+11  2.40886844e-08  
8.51647012e+19  8.10647686e+11  2.44930999e-08  
