3.08567758e+14  9.55383964e+112 1.31005153e+127 
2.11060347e+20  9.65197452e-25  1.32350809e-10  
2.12911753e+20  9.64479904e-25  1.32252416e-10  
2.14763160e+20  9.63757157e-25  1.32153311e-10  
2.16614566e+20  9.63029234e-25  1.32053496e-10  
2.18465973e+20  9.62296155e-25  1.31952974e-10  
2.20317379e+20  9.61557943e-25  1.31851748e-10  
2.22168786e+20  9.60814619e-25  1.31749821e-10  
2.24020192e+20  9.60066206e-25  1.31647196e-10  
2.25871599e+20  9.59312726e-25  1.31543877e-10  
2.27723005e+20  9.58554201e-25  1.31439866e-10  
2.29574412e+20  9.57790654e-25  1.31335166e-10  
2.31425819e+20  9.57022108e-25  1.31229780e-10  
2.33277225e+20  9.56248585e-25  1.31123713e-10  
2.35128632e+20  9.55470110e-25  1.31016966e-10  
2.36980038e+20  9.54686704e-25  1.30909543e-10  
2.38831445e+20  9.53898393e-25  1.30801447e-10  
2.40682851e+20  9.53105198e-25  1.30692682e-10  
2.42534258e+20  9.52307144e-25  1.30583250e-10  
2.44385664e+20  9.51504254e-25  1.30473156e-10  
2.46237071e+20  9.50696553e-25  1.30362401e-10  
2.48088477e+20  9.49884064e-25  1.30250990e-10  
2.49939884e+20  9.49066812e-25  1.30138926e-10  
2.51791291e+20  9.48244822e-25  1.30026212e-10  
2.53642697e+20  9.47418116e-25  1.29912852e-10  
2.55494104e+20  9.46586721e-25  1.29798848e-10  
2.57345510e+20  9.45750660e-25  1.29684205e-10  
2.59196917e+20  9.44909959e-25  1.29568926e-10  
2.61048323e+20  9.44064642e-25  1.29453013e-10  
2.62899730e+20  9.43214734e-25  1.29336471e-10  
2.64751136e+20  9.42360261e-25  1.29219303e-10  
2.66602543e+20  9.41501247e-25  1.29101513e-10  
2.68453950e+20  9.40637719e-25  1.28983103e-10  
2.70305356e+20  9.39769700e-25  1.28864078e-10  
2.72156763e+20  9.38897218e-25  1.28744440e-10  
2.74008169e+20  9.38020297e-25  1.28624194e-10  
2.75859576e+20  9.37138963e-25  1.28503343e-10  
2.77710982e+20  9.36253241e-25  1.28381890e-10  
2.79562389e+20  9.35363159e-25  1.28259840e-10  
2.81413795e+20  9.34468741e-25  1.28137194e-10  
2.83265202e+20  9.33570013e-25  1.28013958e-10  
2.85116608e+20  9.32667002e-25  1.27890134e-10  
2.86968015e+20  9.31759734e-25  1.27765727e-10  
2.88819422e+20  9.30848235e-25  1.27640740e-10  
2.90670828e+20  9.29932532e-25  1.27515175e-10  
2.92522235e+20  9.29012650e-25  1.27389038e-10  
2.94373641e+20  9.28088616e-25  1.27262332e-10  
2.96225048e+20  9.27160457e-25  1.27135060e-10  
2.98076454e+20  9.26228199e-25  1.27007226e-10  
2.99927861e+20  9.25291869e-25  1.26878834e-10  
3.01779267e+20  9.24351493e-25  1.26749886e-10  
3.03630674e+20  9.23407099e-25  1.26620388e-10  
3.05482080e+20  9.22458712e-25  1.26490343e-10  
3.07333487e+20  9.21506361e-25  1.26359753e-10  
3.09184894e+20  9.20550071e-25  1.26228624e-10  
3.11036300e+20  9.19589870e-25  1.26096958e-10  
3.12887707e+20  9.18625785e-25  1.25964760e-10  
3.14739113e+20  9.17657843e-25  1.25832033e-10  
3.16590520e+20  9.16686070e-25  1.25698780e-10  
3.18441926e+20  9.15710495e-25  1.25565006e-10  
3.20293333e+20  9.14731143e-25  1.25430715e-10  
3.22144739e+20  9.13748043e-25  1.25295909e-10  
3.23996146e+20  9.12761221e-25  1.25160593e-10  
